#,brand,domain,employee_band,revenue_est,funding_total,valuation_est,confidence,num_f1_rivals,f1_sponsors_it_competes_with,categories,note
1617,Judo Water Treatment,judo.eu,250-1k,unknown,n/a (private/bootstrapped),unknown,low,1,BWT,"Energy, Industrial & Automotive",German water conditioning
1618,Julbo,julbo.com,250-1k,unknown,n/a (private/family owned),unknown,low,1,Oakley (EssilorLuxottica),"Luxury, Fashion & Beauty",French performance sport eyewear brand
1619,Jumio,jumio.com,250-1k,unknown,"n/a (private, restructured under Centana Growth Partners, 2016)",unknown,low,1,CLEAR,"Health, Betting & Services",Identity verification platform
1620,JumpCloud,jumpcloud.com,250-1k,unknown,"$400M+ raised (Series F, 2023)",$2.6B (2021),medium,1,Okta,"Cyber, IT & Hardware",unified identity platform
1621,Justworks,justworks.com,250-1k,"~$220-250M (net revenue, est.)",n/a (public - NASDAQ: JW),market cap ~$2-2.5B,medium,1,Businessolver,"Payments, Banking & Insurance",PEO/benefits platform rival
1622,JVCKenwood,jvckenwood.com,5k-20k,~$2B (est.),n/a (public - TYO: 6632),market cap ~$500M-1B,medium,1,Riedel,"Telecom, Media, Electronics & Gaming",Radio comms/broadcast equipment
1623,K&N,knfilters.com,250-1k,unknown,n/a (private/bootstrapped),unknown,low,1,Lucas Oil,"Energy, Industrial & Automotive",Performance filters/adjacent aftermarket
1624,K+S Group,k-plus-s.com,5k-20k,~€3.4B (2023),n/a (public - FRA: SDF),market cap ~€3-4B,medium,1,Ma'aden,"Energy, Industrial & Automotive",Potash/salt producer
1625,Kaiser Permanente,kaiserpermanente.org,20k+,~$100B+ (2023),n/a (nonprofit),n/a,high,1,UChicago Medicine,"Health, Betting & Services",Integrated health system
1626,KakaoTalk,kakaocorp.com,5k-20k,"~$5.8B (Kakao Corp, 2023)",n/a (public - KRX: 035720),market cap ~$10-15B,medium,1,WhatsApp (Meta),"Telecom, Media, Electronics & Gaming",South Korea messaging app
1627,Kalitta Air,kalittaair.com,1k-5k,unknown (est. $1-2B),n/a (private/bootstrapped),unknown,low,1,Atlas Air,"Travel, Logistics & Property",ACMI/charter air cargo rival
1628,Kate Spade,katespade.com,5k-20k,"~$1.3B (brand, within Tapestry ~$6.7B total)",n/a (public - NYSE: TPR parent),unknown,medium,1,Louis Vuitton (LVMH),"Luxury, Fashion & Beauty",Tapestry accessible luxury
1629,Kazatomprom,kazatomprom.kz,20k+,~$2.3B (2023),"n/a (public - LSE/AIX: KAP, majority state-owned)",market cap ~$10-12B,medium,1,NexGen,"Energy, Industrial & Automotive",World's largest uranium producer
1630,"Keefe, Bruyette & Woods (Stifel)",kbw.com,250-1k,unknown (segment of Stifel),n/a (public - NYSE: SF parent),unknown,low,1,Stephens,"Payments, Banking & Insurance",Financial institutions-focused investment bank rival
1631,KEF,kef.com,250-1k,unknown,n/a (private),unknown,low,1,Bang & Olufsen,"Luxury, Fashion & Beauty",British high-end audio brand
1632,Kenworth (PACCAR),kenworth.com,20k+,"~$34B (PACCAR total, 2023)",n/a (public - NASDAQ: PCAR),unknown,medium,1,Iveco,"Energy, Industrial & Automotive",US commercial truck brand
1633,Kerastase,kerastase.com,20k+,"unknown (brand within L'Oreal, ~€41.2B total)",n/a (public - Euronext Paris: OR parent),unknown,low,1,Wella Company,"Beverages, Food & CPG",L'Oreal-owned luxury hair care brand
1634,Kering,kering.com,20k+,~€19.6B (2023),n/a (public - Euronext Paris: KER),market cap ~€30-40B,high,1,LVMH,"Luxury, Fashion & Beauty",Gucci/Saint Laurent/Bottega Veneta parent
1635,Keurig Dr Pepper,keurigdrpepper.com,20k+,~$14.8B (2023),n/a (public - NASDAQ: KDP),market cap ~$45-50B,high,1,PepsiCo,"Beverages, Food & CPG",US beverage giant
1636,KeyBanc Capital Markets,key.com,5k-20k,"~$6.5B (KeyCorp total, 2023)",n/a (public - NYSE: KEY parent),market cap ~$15-18B,medium,1,Stephens,"Payments, Banking & Insurance",Regional investment bank rival
1637,KFC,kfc.com,1k-5k,unknown (segment of Yum! Brands),n/a (public - NYSE: YUM parent),unknown,medium,1,McDonald's (Arcos Dorados),"Beverages, Food & CPG",Yum! Brands QSR rival
1638,Kforce,kforce.com,1k-5k,~$1.4-1.5B (2023),n/a (public - NASDAQ: KFRC),market cap ~$1.5-2B,medium,1,Randstad,"Health, Betting & Services",IT/finance staffing
1639,Khalifa University,ku.ac.ae,1k-5k,n/a (government funded),n/a,n/a,low,1,KAUST,"Health, Betting & Services",UAE STEM research university
1640,Kia Finance,kiafinance.com,250-1k,unknown,n/a (public - Kia Corp parent),unknown,low,1,Mobilize Financial Services (Renault Group),"Payments, Banking & Insurance",Captive auto-finance rival
1641,Kiehl's,kiehls.com,20k+,unknown (brand within L'Oreal),n/a (public - L'Oreal parent),unknown,low,1,ELEMIS (L'Occitane Group),"Luxury, Fashion & Beauty",L'Oreal prestige skincare brand
1642,Kiko Milano,kikocosmetics.com,1k-5k,unknown (est. €600M+),n/a (private/family owned),unknown,low,1,Sephora (LVMH),"Luxury, Fashion & Beauty",Italian cosmetics retail brand
1643,Kin Insurance,kin.com,250-1k,unknown,"$275M+ raised (Series D, 2023)","~$1B (est., 2023, unconfirmed)",low,1,Orion180,"Payments, Banking & Insurance",Insurtech coastal homeowners insurer rival
1644,Kinaxis,kinaxis.com,1k-5k,~$330M USD (2023),n/a (public - TSX: KXS),market cap ~$4-5B CAD,medium,1,SAP,"Cloud, Data & AI Software",supply chain planning rival
1645,Kinetico,kinetico.com,250-1k,unknown (est. $200-300M),n/a (private - Axel Johnson subsidiary),unknown,low,1,BWT,"Energy, Industrial & Automotive",Water treatment systems
1646,King & Wood Mallesons,kwm.com,1k-5k,~$1B+ (est.),n/a (private/partnership),unknown,low,1,Ashurst,"Health, Betting & Services",Global law firm
1647,King Fahd University of Petroleum and Minerals,kfupm.edu.sa,1k-5k,n/a (government funded),n/a,n/a,low,1,KAUST,"Health, Betting & Services",Saudi STEM research university
1648,King Saud University,ksu.edu.sa,5k-20k,n/a (government funded),n/a,n/a,low,1,KAUST,"Health, Betting & Services",Saudi research university
1649,Kiwi.com (B2B/Tequila),kiwi.com,250-1k,unknown,"€390M raised (equity + debt, 2019)","unknown (unconfirmed unicorn reports, ~2019)",low,1,Hahnair,"Travel, Logistics & Property",Virtual interlining/ticketing platform rival
1650,Klipsch,klipsch.com,250-1k,"unknown (brand within Voxx International, ~$700-800M total)",n/a (public - NASDAQ: VOXX parent),unknown,low,1,Bang & Olufsen,"Luxury, Fashion & Beauty",American premium audio brand
1651,Klook,klook.com,1k-5k,unknown,$1.1B+ raised (through 2021+),~$2.5B (2021 peak),medium,1,Fever,"Telecom, Media, Electronics & Gaming",Experiences/travel activities platform
1652,KNIME,knime.com,250-1k,unknown,"n/a (private, largely self-funded)",unknown,low,1,Alteryx,"Cloud, Data & AI Software",data science/ETL rival
1653,Kobalt (Lowe's),kobalttools.com,20k+,unknown (private label within Lowe's),n/a (public - NYSE: LOW parent),unknown,low,1,DeWalt (Stanley Black & Decker),"Energy, Industrial & Automotive",Retail power tools brand
1654,Koenigsegg,koenigsegg.com,250-1k,unknown (est. $100-200M),undisclosed investor funding over the years,unknown,low,1,Aston Martin Lagonda,"Energy, Industrial & Automotive",Hypercar maker
1655,Konami (eFootball),konami.com,5k-20k,~$2.7B (est.),n/a (public - TYO: 9766),market cap ~$10-12B,medium,1,EA Sports (Electronic Arts),"Telecom, Media, Electronics & Gaming",Football/sports game publisher
1656,Konfío,konfio.mx,1k-5k,unknown,$700M+ raised (equity + debt facilities),$1.3B (2021),medium,1,Nu (Nubank),"Payments, Banking & Insurance",Mexico SME fintech rival
1657,Kongsberg Gruppen,kongsberg.com,5k-20k,~$3.2B (2023),n/a (public - Oslo: KOG),market cap ~$15-20B,medium,1,IndraMind (Indra Sistemas),"Cyber, IT & Hardware",defense/maritime technology
1658,Korea Exchange (KRX),krx.co.kr,250-1k,unknown,n/a (member-owned/quasi-public),n/a,low,1,Nasdaq,"Crypto, Trading & Wealth",South Korea's exchange
1659,Koyo Radiators,koyorad.com,250-1k,unknown (JTEKT-affiliated),n/a (public - JTEKT parent),unknown,low,1,PWR,"Energy, Industrial & Automotive",Performance radiators
1660,Krombacher,krombacher.de,250-1k,~€900M+ (est.),n/a (private/family owned),unknown,low,1,Paulaner,"Beverages, Food & CPG",Germany's top-selling pilsner
1661,Kuaishou (Kwai),kuaishou.com,20k+,~$16B (2023),n/a (public - HKEX: 1024),market cap ~$20-25B,medium,1,TikTok (ByteDance),"Telecom, Media, Electronics & Gaming",Short-video app (China/global)
1662,Kudelski Group,kudelski.com,1k-5k,~CHF 600-700M (est.),n/a (public - SIX: KUD),market cap ~CHF 200-300M,medium,1,SEALSQ,"Cyber, IT & Hardware",digital security/IoT security
1663,KW Automotive,kwsuspensions.com,250-1k,unknown,n/a (private/bootstrapped),unknown,low,1,Ohlins,"Energy, Industrial & Automotive",Performance suspension
1664,Kweichow Moutai,moutaichina.com,20k+,~$20B (2023),n/a (public - SSE: 600519),market cap ~$280-320B,high,1,Moet Hennessy (LVMH),"Beverages, Food & CPG",Chinese baijiu spirits giant
1665,Kärcher,kaercher.com,5k-20k,~€3.3B (2023),n/a (private/bootstrapped),unknown,medium,1,Einhell,"Energy, Industrial & Automotive",Cleaning/outdoor power equipment adjacent
1666,L&T Technology Services,ltts.com,20k+,~$1.2B (FY2024),n/a (public),~$5B market cap,medium,1,Mphasis,"Cyber, IT & Hardware",engineering R&D services
1667,L'Oreal Group,loreal.com,20k+,~€41B (2023),n/a (public),~€200B+ market cap,high,1,LVMH,"Luxury, Fashion & Beauty",Beauty conglomerate
1668,L'Oreal Professionnel,lorealprofessionnel.com,unknown,unknown (division of L'Oreal Group),n/a (public),unknown,low,1,Wella Company,"Beverages, Food & CPG",L'Oreal Group professional hair care brand
1669,L3Harris Technologies,l3harris.com,20k+,~$21B (2023),n/a (public),~$40B market cap,high,1,IndraMind (Indra Sistemas),"Cyber, IT & Hardware",defense/communications technology
1670,La Martiniquaise,lamartiniquaise.fr,1k-5k,~€1B (est.),n/a (private/bootstrapped),unknown,low,1,Moet Hennessy (LVMH),"Beverages, Food & CPG",French independent spirits group
1671,La Mer,cremedelamer.com,unknown,"unknown (brand of Estée Lauder Companies, public)",n/a (public),unknown,low,1,ELEMIS (L'Occitane Group),"Luxury, Fashion & Beauty",Estee Lauder Companies ultra-prestige skincare brand
1672,La Molisana,lamolisana.it,250-1k,~€300M (est.),n/a (private/bootstrapped),unknown,low,1,Barilla,"Beverages, Food & CPG",Italian pasta maker
1673,LaCroix,lacroixwater.com,unknown,"unknown (brand of National Beverage Corp, public)",n/a (public),unknown,low,1,S.Pellegrino (Nestle),"Beverages, Food & CPG",National Beverage sparkling water
1674,Lactalis,lactalis.com,20k+,~€28B (2023),n/a (private/bootstrapped),unknown,medium,1,Nestle,"Beverages, Food & CPG",French dairy giant
1675,Ladbrokes (Entain),ladbrokes.com,20k+,Entain plc ~£4.3B (2023),n/a (public),~£5-6B market cap (Entain),medium,1,Betway (Super Group),"Health, Betting & Services",UK sportsbook
1676,Lamborghini,lamborghini.com,1k-5k,~€3B (2023),n/a (public),unknown (subsidiary of Volkswagen/Audi),medium,1,Aston Martin Lagonda,"Energy, Industrial & Automotive",Luxury sports car maker
1677,League Inc.,league.com,250-1k,unknown,~$95M raised,unknown,low,1,Businessolver,"Payments, Banking & Insurance",Benefits experience platform rival
1678,League of Legends: Wild Rift (Riot/Tencent),riotgames.com,1k-5k,Riot ~$1.5-2B (est.),"n/a (public, subsidiary of Tencent)",unknown,low,1,PUBG Mobile (Krafton),"Telecom, Media, Electronics & Gaming",Mobile MOBA rival
1679,LeasePlan,leaseplan.com,5k-20k,unknown (merged into Ayvens 2023),n/a (private/bootstrapped),unknown,medium,1,Mobilize Financial Services (Renault Group),"Payments, Banking & Insurance",Fleet leasing/finance rival
1680,Leatherman,leatherman.com,250-1k,unknown,n/a (private/bootstrapped),unknown,low,1,The James Brand,"Luxury, Fashion & Beauty",American multi-tool & EDC brand
1681,Lechler,lechler.eu,1k-5k,unknown,n/a (private/bootstrapped),unknown,low,1,Glasurit (BASF),"Energy, Industrial & Automotive",Italian automotive refinish paint
1682,LEDVANCE,ledvance.com,5k-20k,~$2B (est.),"n/a (private/bootstrapped, owned by MLS)",unknown,low,1,Signify,"Energy, Industrial & Automotive",LED lighting (ex-Osram GLS)
1683,Lee,lee.com,unknown,"unknown (brand of Kontoor Brands, public)",n/a (public),unknown,low,1,Pepe Jeans,"Luxury, Fashion & Beauty",Kontoor Brands denim brand
1684,Legal & General,legalandgeneral.com,5k-20k,~£64B gross premiums (2023),n/a (public),~£15B market cap,high,1,Allianz,"Payments, Banking & Insurance",UK life insurer/asset manager rival
1685,Lemonade Inc.,lemonade.com,250-1k,~$150M (2023),n/a (public),~$1.5-2B market cap,high,1,Orion180,"Payments, Banking & Insurance",Insurtech renters/homeowners insurer rival
1686,Leonardo DRS,leonardodrs.com,5k-20k,~$3B (2023),n/a (public),~$8B market cap,high,1,IndraMind (Indra Sistemas),"Cyber, IT & Hardware",defense electronics
1687,Leonardo S.p.A.,leonardo.com,20k+,~€15.4B (2023),n/a (public),~€25B+ market cap,high,1,IndraMind (Indra Sistemas),"Cyber, IT & Hardware",defense/aerospace technology
1688,Les Echos,lesechos.fr,250-1k,unknown (part of LVMH),"n/a (public, subsidiary of LVMH)",unknown,low,1,Financial Times (Nikkei),"Telecom, Media, Electronics & Gaming",French business newspaper
1689,Lever (Employ Inc),lever.co,250-1k,unknown,"n/a (private, PE-backed)",unknown,low,1,Avature,"Cloud, Data & AI Software",recruiting platform rival
1690,LexisNexis Risk Solutions,risk.lexisnexis.com,5k-20k,"~$3.4B (2022 est., division)","n/a (public, subsidiary of RELX)",unknown,medium,1,Solera,"Cyber, IT & Hardware",risk/insurance data solutions
1691,Lexmark,lexmark.com,5k-20k,~$3.4B (est.),"n/a (private, owned by Ninestar/PAG consortium)",unknown,medium,1,Xerox,"Cyber, IT & Hardware",printers/imaging
1692,LGT Group,lgt.com,5k-20k,unknown (private bank),"n/a (private/bootstrapped, Princely Family of Liechtenstein)",unknown,medium,1,UBS,"Payments, Banking & Insurance",Private banking/wealth management rival
1693,Liberty Latin America,lla.com,20k+,~$3.5B (2023),n/a (public),~$1.5B market cap,medium,1,Claro / Telcel (America Movil),"Telecom, Media, Electronics & Gaming",LatAm/Caribbean cable & mobile
1694,LifeProof,lifeproof.com,unknown,unknown (brand of Otter Products),n/a (private/bootstrapped),unknown,low,1,Mous,"Luxury, Fashion & Beauty",Otterbox-owned rugged case brand
1695,Light & Wonder (Scientific Games),lnw.com,5k-20k,~$3B (2023),n/a (public),~$7-8B market cap,high,1,Allwyn,"Health, Betting & Services",Lottery & gaming supplier
1696,Lindberg,lindberg.com,250-1k,unknown,n/a (private/bootstrapped),unknown,low,1,ic! berlin,"Luxury, Fashion & Beauty",Danish precision/minimalist eyewear brand
1697,LINE,line.me,5k-20k,"unknown (segment of LY Corporation, public)",n/a (public),unknown,low,1,WhatsApp (Meta),"Telecom, Media, Electronics & Gaming",Messaging app (Japan/Asia)
1698,Linklaters,linklaters.com,5k-20k,~£2.1B turnover (2023/24),n/a (private partnership),unknown,medium,1,Ashurst,"Health, Betting & Services",Magic Circle law firm
1699,Lion Beer,lionbeer.lk,250-1k,~LKR 110-130B / ~$350-400M (2024),n/a (public),unknown,medium,1,Singha (Boon Rawd Brewery),"Beverages, Food & CPG",Kirin-owned Sri Lankan lager
1700,Little Caesars,littlecaesars.com,1k-5k,~$4B+ systemwide (est.),"n/a (private/bootstrapped, Ilitch family)",unknown,low,1,McDonald's (Arcos Dorados),"Beverages, Food & CPG",US pizza QSR chain
1701,Liv Cycling (Giant),liv-cycling.com,unknown,"unknown (brand of Giant Manufacturing, public)",n/a (public),unknown,low,1,Specialized,"Telecom, Media, Electronics & Gaming",Women's-focused bicycle brand
1702,Loewe,loewe.com,1k-5k,unknown (brand of LVMH),"n/a (public, subsidiary of LVMH)",unknown,low,1,Louis Vuitton (LVMH),"Luxury, Fashion & Beauty",LVMH luxury leather goods
1703,Logitech,logitech.com,5k-20k,~$4.6B (FY2024),n/a (public),~$10B market cap,high,1,Neat,"Health, Betting & Services",Video conferencing hardware
1704,Logitech G,logitechg.com,unknown,"unknown (division of Logitech, public)",n/a (public),unknown,low,1,Fanatec (Corsair),"Telecom, Media, Electronics & Gaming",Sim-racing wheel/pedal maker
1705,LogRhythm,logrhythm.com,250-1k,unknown,~$126M raised (pre-merger),unknown (merged with Exabeam 2025),medium,1,Splunk (Cisco),"Cloud, Data & AI Software",SIEM rival
1706,London Stock Exchange Group,lseg.com,20k+,~£8.2B (2023),n/a (public),~£50B market cap,high,1,Nasdaq,"Crypto, Trading & Wealth",exchange and data group
1707,Loomis Sayles,loomissayles.com,250-1k,unknown (subsidiary of Natixis IM),"n/a (public, subsidiary)",unknown (~$300B AUM),low,1,Nuveen (TIAA),"Payments, Banking & Insurance",Fixed income/equity asset management rival
1708,Looza,looza.com,unknown,"unknown (brand, part of larger beverage group)",unknown,unknown,low,1,Rauch,"Beverages, Food & CPG",PepsiCo Europe juice brand
1709,Loterias y Apuestas del Estado,loteriasyapuestas.es,1k-5k,unknown (Spanish state lottery entity),n/a (public/government entity),unknown,low,1,Allwyn,"Health, Betting & Services",Spanish state lottery
1710,Lotus Cars,lotuscars.com,1k-5k,unknown (owned by Geely),"n/a (private, subsidiary of Geely)",unknown,low,1,Aston Martin Lagonda,"Energy, Industrial & Automotive",Sports car maker
1711,LS Cable & System,lscns.com,1k-5k,"unknown (subsidiary of LS Corp, public KRX)",n/a (public),unknown,low,1,CommScope,"Cyber, IT & Hardware",cabling infrastructure
1712,LuckyLand Slots (VGW),luckylandslots.com,1k-5k,unknown (VGW Group est. $1B+),n/a (private/bootstrapped),unknown,low,1,Modo Casino,"Health, Betting & Services",US sweepstakes casino
1713,Lufthansa Cargo,lufthansa-cargo.com,1k-5k,~€2.7B (2023),"n/a (public, subsidiary of Lufthansa Group)",unknown,medium,1,Atlas Air,"Travel, Logistics & Property",Air cargo carrier rival
1714,Lyra Health,lyrahealth.com,1k-5k,unknown,~$910M raised,~$5.58B (2022),medium,1,BetterUp,"Health, Betting & Services",Workforce mental health platform
1715,MAC Cosmetics,maccosmetics.com,unknown,"unknown (brand of Estée Lauder Companies, public)",n/a (public),unknown,low,1,Charlotte Tilbury (Puig),"Luxury, Fashion & Beauty",Estee Lauder Companies prestige makeup brand
1716,Macquarie Group,macquarie.com,20k+,~A$17B (FY2024),n/a (public),~A$80B market cap,high,1,Goldman Sachs,"Payments, Banking & Insurance",Investment bank/asset management rival
1717,Maersk,maersk.com,20k+,~$51B (2023),n/a (public),~$30B+ market cap,high,1,DHL,"Travel, Logistics & Property",Integrated logistics/ocean freight
1718,MAG Property Development,mag.ae,250-1k,unknown,n/a (private/bootstrapped),unknown,low,1,DAMAC Properties,"Travel, Logistics & Property",Dubai real estate developer
1719,Maje,maje.com,1k-5k,"unknown (brand of SMCP Group, public)",n/a (public),unknown,low,1,Reiss,"Luxury, Fashion & Beauty",French contemporary fashion brand
1720,Man Group,man.com,1k-5k,~$1.3B (est.),n/a (public),~£3B market cap,medium,1,ZCG,"Payments, Banking & Insurance",Alternative investment manager rival
1721,MAN Truck & Bus,man.eu,20k+,~€12B (est.),"n/a (public, subsidiary of Traton/VW)",unknown,medium,1,Iveco,"Energy, Industrial & Automotive",Commercial truck major
1722,Mandarina Duck,mandarinaduck.com,250-1k,unknown,n/a (private/bootstrapped),unknown,low,1,Piquadro,"Luxury, Fashion & Beauty",Italian bag & accessories brand
1723,Manulife,manulife.com,20k+,~C$61B (2023),n/a (public),~C$50B market cap,high,1,Allianz,"Payments, Banking & Insurance",Canadian/Asian life insurer/asset manager rival
1724,Marchesi Antinori,antinori.it,250-1k,unknown,n/a (private/bootstrapped),unknown,low,1,Moet Hennessy (LVMH),"Beverages, Food & CPG",Historic Italian wine house
1725,Margaritaville Holdings,margaritaville.com,250-1k,unknown,n/a (private/bootstrapped),unknown,low,1,Hard Rock International,"Travel, Logistics & Property",Hospitality/entertainment brand rival
1726,Marie Brizard Wine & Spirits,mbws.com,250-1k,unknown,"n/a (public, small cap)",unknown,low,1,Moet Hennessy (LVMH),"Beverages, Food & CPG",French wine & spirits group
1727,Marionnaud,marionnaud.com,1k-5k,unknown (subsidiary of AS Watson/CK Hutchison),"n/a (public, subsidiary)",unknown,low,1,Sephora (LVMH),"Luxury, Fashion & Beauty",European beauty retailer
1728,Marshall,marshallheadphones.com,250-1k,unknown,n/a (private/bootstrapped),unknown,low,1,Bang & Olufsen,"Luxury, Fashion & Beauty",British heritage audio brand
1729,Maserati,maserati.com,1k-5k,"unknown (subsidiary of Stellantis, public)",n/a (public),unknown,low,1,Aston Martin Lagonda,"Energy, Industrial & Automotive",Luxury sports car maker
1730,Mashreq Bank,mashreqbank.com,1k-5k,unknown,"n/a (private/bootstrapped, Al Ghurair family)",unknown,low,1,Standard Chartered,"Payments, Banking & Insurance",Middle East banking rival
1731,Mass General Brigham,massgeneralbrigham.org,20k+,~$19B (2023),n/a (nonprofit),unknown,medium,1,UChicago Medicine,"Health, Betting & Services",Academic health system
1732,MasterClass,masterclass.com,250-1k,unknown,~$461M raised,~$2.75B (2021),medium,1,Udemy,"Health, Betting & Services",Celebrity-led learning platform
1733,Matrix,matrix.com,unknown,"unknown (Matrix hair care, brand of L'Oreal USA Professional Products Division)","n/a (public, subsidiary of L'Oreal)",unknown,low,1,Wella Company,"Beverages, Food & CPG",L'Oreal-owned professional hair care brand
1734,Mattel (Hot Wheels/Barbie),mattel.com,20k+,~$5.4B (2023),n/a (public),~$6B market cap,high,1,LEGO Group,"Telecom, Media, Electronics & Gaming",Global toy maker
1735,Matterport,matterport.com,250-1k,~$170M (2023),"n/a (public, acquired by CoStar Group 2024)",~$1.6B acquisition price,medium,1,JigSpace,"Telecom, Media, Electronics & Gaming",3D digital twin/spatial capture platform
1736,Mavi,mavi.com,5k-20k,unknown,n/a (private/bootstrapped),unknown,low,1,Pepe Jeans,"Luxury, Fashion & Beauty",Turkish premium denim brand
1737,Max (Warner Bros. Discovery),max.com,unknown,"unknown (streaming division of Warner Bros. Discovery, public)",n/a (public),unknown,low,1,Paramount+ (Paramount Skydance),"Telecom, Media, Electronics & Gaming",Streaming service
1738,Maxell,maxell.com,1k-5k,~$1B (est.),"n/a (public, Tokyo-listed)",unknown,low,1,Duracell (Berkshire Hathaway),"Telecom, Media, Electronics & Gaming",Consumer battery maker
1739,MaxLinear,maxlinear.com,250-1k,~$400M (2023),n/a (public),~$1-2B market cap,medium,1,Snapdragon (Qualcomm),"Cyber, IT & Hardware",connectivity/broadband chips
1740,Maybank,maybank.com,20k+,unknown (large regional bank),n/a (public),unknown,medium,1,Standard Chartered,"Payments, Banking & Insurance",Southeast Asia banking rival
1741,Mayo Clinic,mayoclinic.org,20k+,~$18B (2023),n/a (nonprofit),unknown,high,1,UChicago Medicine,"Health, Betting & Services",Academic health system
1742,Mazars,mazars.com,20k+,~€2.8B (est.),n/a (private partnership),unknown,medium,1,PwC,"Health, Betting & Services",Audit/advisory
1743,McCormick & Company,mccormickcorporation.com,5k-20k,~$6.7B (FY2023),n/a (public),~$20B market cap,high,1,Nestle,"Beverages, Food & CPG",Global spice/flavor giant
1744,McLaren Automotive,mclaren.com,1k-5k,~£700M (est.),"n/a (private, owned by Bahrain Mumtalakat/CYVN)",unknown,medium,1,Aston Martin Lagonda,"Energy, Industrial & Automotive",Luxury sports car maker (sister to F1 team)
1745,Meccano (Spin Master),meccano.com,unknown,"unknown (brand of Spin Master, public)",n/a (public),unknown,low,1,LEGO Group,"Telecom, Media, Electronics & Gaming",Construction toy brand
1746,Mediobanca,mediobanca.com,5k-20k,~€3.5B (est.),n/a (public),~€10B market cap,medium,1,UniCredit,"Payments, Banking & Insurance",Italian investment bank rival
1747,Medtronic,medtronic.com,20k+,~$32B (FY2024),n/a (public),~$110B market cap,high,1,Philips,"Energy, Industrial & Automotive",Medical devices major
1748,Mega Bloks (Mattel),megabloks.com,unknown,"unknown (brand of Mattel, public)",n/a (public),unknown,low,1,LEGO Group,"Telecom, Media, Electronics & Gaming",Direct construction-toy rival
1749,Megaport,megaport.com,250-1k,~AUD 160M (est.),n/a (public),~AUD 1B market cap,medium,1,Tata Communications,"Telecom, Media, Electronics & Gaming",Network-as-a-service
1750,Meiji Holdings,meiji.com,20k+,~¥1.3T / ~$9B (est.),n/a (public),unknown,medium,1,Nestle,"Beverages, Food & CPG",Japanese dairy/confectionery group
1751,Meraas,meraas.com,1k-5k,unknown,"n/a (private/bootstrapped, government-linked, Dubai Holding)",unknown,low,1,DAMAC Properties,"Travel, Logistics & Property",Dubai lifestyle real estate developer
1752,Mercado Pago (Mercado Libre),mercadopago.com,20k+,MercadoLibre ~$14B (2023),n/a (public),~$80B+ market cap (MercadoLibre),medium,1,Nu (Nubank),"Payments, Banking & Insurance",Latin America fintech/digital wallet rival
1753,Mercedes-AMG,mercedes-amg.com,1k-5k,"unknown (division of Mercedes-Benz Group, public)",n/a (public),unknown,low,1,Aston Martin Lagonda,"Energy, Industrial & Automotive",Performance sub-brand
1754,Mercedes-Benz Mobility,mercedes-benz-mobility.com,5k-20k,"unknown (division of Mercedes-Benz Group, public)",n/a (public),unknown,low,1,Mobilize Financial Services (Renault Group),"Payments, Banking & Insurance",Captive auto-finance rival
1755,Mercedes-Benz Trucks,mercedes-benz-trucks.com,5k-20k,"unknown (division of Daimler Truck, public)",n/a (public),unknown,low,1,Iveco,"Energy, Industrial & Automotive",Commercial truck major
1756,Mercuryo,mercuryo.io,250-1k,unknown,~$10.5M raised,unknown,medium,1,CoinPayments,"Crypto, Trading & Wealth",crypto payment infrastructure
1757,Merida,merida-bikes.com,1k-5k,unknown,"n/a (public, Taiwan-listed)",unknown,medium,1,Specialized,"Telecom, Media, Electronics & Gaming",Global bicycle maker
1758,Merrill Edge,merrilledge.com,unknown,"unknown (division of Bank of America, public)",n/a (public),unknown,low,1,Public.com,"Crypto, Trading & Wealth",Bank of America brokerage
1759,Metabo HPT,metabohpt.com,1k-5k,unknown,"n/a (private, subsidiary of Koki Holdings)",unknown,low,1,DeWalt (Stanley Black & Decker),"Energy, Industrial & Automotive",Professional power tools
1760,Method,methodhome.com,250-1k,unknown (brand of SC Johnson),"n/a (private/bootstrapped, subsidiary of SC Johnson)",unknown,low,1,Dirt is Good / OMO (Unilever),"Beverages, Food & CPG",People Against Dirty eco laundry brand
1761,Metro Bank,metrobankonline.co.uk,1k-5k,~£500M (est.),n/a (public),~£300-500M market cap,medium,1,Barclays,"Payments, Banking & Insurance",UK challenger bank rival
1762,MFS Africa,mfsafrica.com,250-1k,unknown,"~$200M raised (Series C total, incl. debt)",unknown,medium,1,MoneyGram,"Payments, Banking & Insurance",Africa mobile money interoperability rival
1763,MFS Investment Management,mfs.com,1k-5k,unknown (~$600B AUM),"n/a (public, subsidiary of Sun Life Financial)",unknown,medium,1,Nuveen (TIAA),"Payments, Banking & Insurance",Active asset management rival
1764,MGA Entertainment,mgae.com,1k-5k,"unknown (est. $3-5B, private)",n/a (private/bootstrapped),unknown,low,1,LEGO Group,"Telecom, Media, Electronics & Gaming",Toy maker
1765,Micron Technology,micron.com,20k+,~$25B (FY2024),n/a (public),~$100B+ market cap,high,1,AMD,"Cyber, IT & Hardware",memory chips
1766,MicroStrategy,microstrategy.com,1k-5k,~$460M software revenue (2023),n/a (public),"~$80B+ market cap (BTC-driven, volatile)",medium,1,Alteryx,"Cloud, Data & AI Software",BI platform rival
