brand,domain,already_in_f1,num_f1_rivals,f1_sponsors_it_competes_with,categories,note
Redline Energy,vpxsports.com,,1,Monster Energy (Monster Beverage),"Beverages, Food & CPG",VPX high-potency energy drink
Redpanda Data,redpanda.com,,1,Confluent,"Cloud, Data & AI Software",Kafka-compatible streaming rival
Regent Seven Seas Cruises,rssc.com,YES,1,MSC Cruises,"Travel, Logistics & Property",Aston Martin partner; luxury cruise rival
Reiger Suspension Engineering,reiger.nl,,1,Ohlins,"Energy, Industrial & Automotive",Motorsport dampers
RemotePC (IDrive),remotepc.com,,1,TeamViewer,"Cloud, Data & AI Software",remote access rival
Remy Cointreau,remy-cointreau.com,,1,Moet Hennessy (LVMH),"Beverages, Food & CPG",French cognac/spirits group
REN Clean Skincare,renskincare.com,,1,ELEMIS (L'Occitane Group),"Luxury, Fashion & Beauty",Unilever clean-skincare brand
Renault Trucks,renault-trucks.com,YES,1,Iveco,"Energy, Industrial & Automotive",Renault Group (Alpine owner) commercial arm
RENPHO,renpho.com,,1,Therabody,"Health, Betting & Services",Budget massage-gun recovery tech
Replay,replay.it,,1,Pepe Jeans,"Luxury, Fashion & Beauty",Italian premium denim brand
Replit,replit.com,,1,Cognition AI,"Cloud, Data & AI Software",AI coding platform rival
Rescale,rescale.com,,1,Ansys (Synopsys),"Cloud, Data & AI Software",cloud simulation platform rival
Resemble AI,resemble.ai,,1,ElevenLabs,"Cloud, Data & AI Software",AI voice cloning rival
Resident Advisor,ra.co,,1,Fever,"Telecom, Media, Electronics & Gaming",Electronic music events platform
ResMed,resmed.com,,1,Philips,"Energy, Industrial & Automotive",Sleep/respiratory health tech
Ressence,ressence.com,,1,H. Moser & Cie,"Luxury, Fashion & Beauty",Independent avant-garde watchmaker
Rev'it,revitsport.com,,1,Alpinestars,"Energy, Industrial & Automotive",Moto/racewear apparel
Revo,revo.com,,1,Maui Jim (Kering Eyewear),"Luxury, Fashion & Beauty",Premium polarized sunglasses brand
Reyka Vodka,reyka.com,,1,NEFT Vodka,"Beverages, Food & CPG",Diageo Icelandic vodka
Reynolds and Reynolds,reyrey.com,,1,Solera,"Cyber, IT & Hardware",automotive dealer software
RHB Bank,rhbgroup.com,,1,Standard Chartered,"Payments, Banking & Insurance",Southeast Asia banking rival
Rheinmetall,rheinmetall.com,,1,IndraMind (Indra Sistemas),"Cyber, IT & Hardware",defense technology
Richardson Electronics,rell.com,,1,Arrow Electronics,"Cyber, IT & Hardware",electronic components distribution
Ridley Bikes,ridley-bikes.com,,1,Specialized,"Telecom, Media, Electronics & Gaming",Performance bicycle maker
Riha WeserGold,wesergold.de,,1,Rauch,"Beverages, Food & CPG",German juice manufacturer
Rimowa,rimowa.com,,1,TUMI (Samsonite),"Luxury, Fashion & Beauty",LVMH premium hardside luggage brand
Ringke,ringke.com,,1,Mous,"Luxury, Fashion & Beauty",Protective phone case brand
Rio Tinto,riotinto.com,,1,Ma'aden,"Energy, Industrial & Automotive",Global mining major
Riot Platforms,riotplatforms.com,,1,Core Scientific,"Cyber, IT & Hardware",digital infrastructure/data centers
RISE Brewing Co,risebrewingco.com,,1,Beforeyouspeak Coffee,"Beverages, Food & CPG",US nitro cold brew coffee brand
Riso Kagaku,riso.co.jp,,1,Xerox,"Cyber, IT & Hardware",digital duplicators/printers
Rittal (Friedhelm Loh Group),rittal.com,,1,Schneider Electric,"Energy, Industrial & Automotive",Enclosures/electrical infrastructure
Ritual,ritual.com,,1,HMN24,"Beverages, Food & CPG",US direct-to-consumer vitamin brand
Rivos,rivosinc.com,,1,Arm (SoftBank Group),"Cyber, IT & Hardware",RISC-V server chips
Robeks,robeks.com,,1,Oakberry,"Beverages, Food & CPG",US juice/smoothie chain
Robert W. Baird & Co.,rwbaird.com,,1,Stephens,"Payments, Banking & Insurance",Employee-owned investment bank rival
Roc Nation Sports,rocnation.com,,1,Juss Sports (Juss Group),"Health, Betting & Services",Athlete management agency
Rodenstock,rodenstock.com,,1,Shamir Optical,"Luxury, Fashion & Beauty",German lens & eyewear manufacturer
Roku Channel,roku.com,,1,Paramount+ (Paramount Skydance),"Telecom, Media, Electronics & Gaming",Free ad-supported streaming
Rollbit,rollbit.com,,1,Stake (departing but budget-holder),"Health, Betting & Services",Crypto casino/sportsbook
Rolls-Royce Motor Cars,rolls-roycemotorcars.com,,1,Aston Martin Lagonda,"Energy, Industrial & Automotive",Ultra-luxury automaker
Ronzoni,ronzoni.com,,1,Barilla,"Beverages, Food & CPG",Post Holdings US pasta brand
Roobet,roobet.com,,1,Stake (departing but budget-holder),"Health, Betting & Services",Crypto casino
Ropes & Gray,ropesgray.com,,1,Morrison Foerster,"Health, Betting & Services",Global law firm
Rosneft,rosneft.com,,1,Aramco,"Energy, Industrial & Automotive",Russian state oil co
Ross Video,rossvideo.com,,1,Riedel,"Telecom, Media, Electronics & Gaming",Broadcast production equipment
Rossignol,rossignol.com,,1,Perfect Moment,"Luxury, Fashion & Beauty",French ski equipment & apparel brand
Rothaus,rothaus.de,,1,Paulaner,"Beverages, Food & CPG",Black Forest state brewery
Roust Corporation,roust.com,,1,Moet Hennessy (LVMH),"Beverages, Food & CPG",Russian Standard vodka group
Route Mobile (Proximus),routemobile.com,,1,Infobip,"Telecom, Media, Electronics & Gaming",CPaaS platform
Rowdy Energy,rowdyenergy.com,,1,Celsius (Celsius Holdings),"Beverages, Food & CPG",US celebrity-backed energy drink
Royal Caribbean International,royalcaribbean.com,,1,MSC Cruises,"Travel, Logistics & Property",Largest mainstream cruise rival
Royal Mail / GLS,royalmailgroup.com,,1,DHL,"Travel, Logistics & Property",UK postal/parcel network
Royal Vegas,royalvegascasino.com,,1,JackpotCity Casino,"Health, Betting & Services",Online casino
RSA Security,rsa.com,,1,Okta,"Cyber, IT & Hardware",identity & access assurance
RSeat,rseat.eu,,1,Trak Racer,"Telecom, Media, Electronics & Gaming",Sim-racing cockpit maker
RSM International,rsm.global,,1,PwC,"Health, Betting & Services",Mid-tier audit/advisory
RTIC,rtic.com,,1,Yeti,"Luxury, Fashion & Beauty",Coolers & drinkware brand
RTS (Bosch),rtsintercoms.com,,1,Riedel,"Telecom, Media, Electronics & Gaming",Broadcast intercom systems
Ruby Fortune,rubyfortune.com,,1,JackpotCity Casino,"Health, Betting & Services",Online casino
Rudy Project,rudyproject.com,,1,Oakley (EssilorLuxottica),"Luxury, Fashion & Beauty",Italian performance sport eyewear brand
Rummo,rummo.com,,1,Barilla,"Beverages, Food & CPG",Italian premium pasta
Runa Energy,runa.com,,1,Celsius (Celsius Holdings),"Beverages, Food & CPG",US clean-caffeine energy drink
RunPod,runpod.io,,1,CoreWeave,"Cyber, IT & Hardware",GPU cloud compute
Rush,rushpouches.com,,1,ZYN (Philip Morris International),"Beverages, Food & CPG",Nicotine pouch brand
Rush Bowls,rushbowls.com,,1,Oakberry,"Beverages, Food & CPG",US acai/smoothie bowl chain
Rush University Medical Center,rush.edu,,1,UChicago Medicine,"Health, Betting & Services",Chicago-area rival
Russian Standard,russianstandardvodka.com,,1,NEFT Vodka,"Beverages, Food & CPG",Roust Corporation vodka
Rutronik,rutronik.com,,1,Arrow Electronics,"Cyber, IT & Hardware",electronic components distribution
Ryse Supplements,rysesupps.com,,1,Optimum Nutrition (Glanbia),"Beverages, Food & CPG",US sports nutrition brand
S&P Global (S&P Dow Jones Indices),spglobal.com,,1,Nasdaq,"Crypto, Trading & Wealth",index and ratings/data provider
Saab AB,saab.com,,1,IndraMind (Indra Sistemas),"Cyber, IT & Hardware",defense/technology
Saatva,saatva.com,,1,Eight Sleep,"Health, Betting & Services",Premium DTC mattress
SABIC,sabic.com,,1,INEOS,"Energy, Industrial & Automotive",Saudi petrochemicals major
Sabre,sabre.com,,1,Hahnair,"Travel, Logistics & Property",GDS/travel distribution technology rival
Safran,safran-group.com,,1,IndraMind (Indra Sistemas),"Cyber, IT & Hardware",aerospace/defense technology
Sailthru,sailthru.com,,1,Rokt,"Telecom, Media, Electronics & Gaming",Retail marketing platform
Saint Laurent,ysl.com,,1,Louis Vuitton (LVMH),"Luxury, Fashion & Beauty",Kering luxury fashion
salam (formerly Bayanat),salam.sa,,1,STC (Saudi Telecom Company),"Telecom, Media, Electronics & Gaming",Saudi telecom/ICT provider
Salesloft,salesloft.com,,1,Salesforce,"Cloud, Data & AI Software",sales engagement rival
Salt Lending,saltlending.com,,1,Nexo,"Crypto, Trading & Wealth",crypto-backed lending
Salvatore Ferragamo,ferragamo.com,,1,Louis Vuitton (LVMH),"Luxury, Fashion & Beauty",Italian luxury leather goods
Sambazon,sambazon.com,,1,Oakberry,"Beverages, Food & CPG",Acai brand and cafe products
San Benedetto,sanbenedetto.it,,1,S.Pellegrino (Nestle),"Beverages, Food & CPG",Italian mineral water leader
San Remo,sanremo.com.au,,1,Barilla,"Beverages, Food & CPG",Leading Australian pasta brand
Sandro,sandro-paris.com,,1,Reiss,"Luxury, Fashion & Beauty",French contemporary fashion brand
Santa Cruz Bicycles,santacruzbicycles.com,,1,Specialized,"Telecom, Media, Electronics & Gaming",Mountain bike maker
Santander Consumer Finance,santanderconsumerusa.com,YES,1,Mobilize Financial Services (Renault Group),"Payments, Banking & Insurance",Auto lending rival; Santander is F1 official partner
Saratoga Spring Water,saratogaspringwater.com,,1,S.Pellegrino (Nestle),"Beverages, Food & CPG",US premium spring water
Sarens,sarens.com,,1,Mammoet,"Energy, Industrial & Automotive",Heavy lifting/engineered transport
SAS,sas.com,,1,Alteryx,"Cloud, Data & AI Software",analytics platform rival
Sasol,sasol.com,,1,INEOS,"Energy, Industrial & Automotive",Chemicals/synfuels
Saudi Exchange (Tadawul),saudiexchange.sa,,1,Nasdaq,"Crypto, Trading & Wealth",Saudi Arabia's exchange
Saudi Tourism Authority,visitsaudi.com,,1,Visit Qatar (Qatar Tourism),"Travel, Logistics & Property",Rival Gulf/regional DMO
Sazerac Company,sazerac.com,,1,Moet Hennessy (LVMH),"Beverages, Food & CPG",US private spirits giant
Scale AI,scale.com,,1,G42,"Cloud, Data & AI Software",AI data/infrastructure rival
Scale Computing,scalecomputing.com,,1,Hewlett Packard Enterprise,"Cyber, IT & Hardware",hyperconverged infrastructure
Scandit,scandit.com,,1,JigSpace,"Telecom, Media, Electronics & Gaming",AR/scanning enterprise software
Scania,scania.com,,1,Iveco,"Energy, Industrial & Automotive",Commercial truck major
ScanSource,scansource.com,,1,Arrow Electronics,"Cyber, IT & Hardware",technology products distribution
Schaeffler (FAG/INA),schaeffler.com,,1,SKF,"Energy, Industrial & Automotive",Bearings/driveline major
Schick,schick.com,,1,Gillette (Procter & Gamble),"Beverages, Food & CPG",Edgewell razor/shaving brand
Schneider Electric,se.com,YES,1,Siemens,"Energy, Industrial & Automotive",McLaren partner
Schneider Weisse,schneider-weisse.de,,1,Paulaner,"Beverages, Food & CPG",Bavarian wheat beer specialist
Schroders,schroders.com,,1,Nuveen (TIAA),"Payments, Banking & Insurance",Global asset management rival
Schréder,schreder.com,,1,Signify,"Energy, Industrial & Automotive",Outdoor/public lighting
Schwarzkopf Professional,schwarzkopf-professional.com,,1,Wella Company,"Beverages, Food & CPG",Henkel professional hair care brand
Scotiabank,scotiabank.com,,1,Santander,"Payments, Banking & Insurance",Americas-focused banking rival
Scott Sports,scott-sports.com,,1,Specialized,"Telecom, Media, Electronics & Gaming",Bicycle/sports equipment maker
Seabourn,seabourn.com,,1,Regent Seven Seas Cruises (Norwegian Cruise Line Holdings),"Travel, Logistics & Property",Ultra-luxury cruise rival
SEB,sebgroup.com,,1,UniCredit,"Payments, Banking & Insurance",Nordic banking rival
Security First Insurance,securityfirstflorida.com,,1,Orion180,"Payments, Banking & Insurance",Florida homeowners insurer rival
Securonix,securonix.com,,1,Splunk (Cisco),"Cloud, Data & AI Software",SIEM rival
Seed Health,seed.com,,1,HMN24,"Beverages, Food & CPG",US probiotic/wellness supplement brand
Seeking Alpha,seekingalpha.com,,1,CNBC (Comcast/NBCUniversal),"Telecom, Media, Electronics & Gaming",Investment research/media
Sega,sega.com,,1,EA Sports (Electronic Arts),"Telecom, Media, Electronics & Gaming",Video game publisher
Segula Technologies,segula.com,,1,Akkodis (Adecco Group),"Cyber, IT & Hardware",engineering consulting
Seiko Optical,seikoeyewear.com,,1,Shamir Optical,"Luxury, Fashion & Beauty",Japanese ophthalmic lens manufacturer
Select Group,selectgroup.ae,,1,DAMAC Properties,"Travel, Logistics & Property",Dubai luxury real estate developer
Selerix Systems,selerix.com,,1,Businessolver,"Payments, Banking & Insurance",Benefits enrollment technology rival
Semtech,semtech.com,,1,Snapdragon (Qualcomm),"Cyber, IT & Hardware",wireless connectivity chips
Sener Aeroespacial,sener.es,,1,IndraMind (Indra Sistemas),"Cyber, IT & Hardware",aerospace/defense engineering
Sennheiser,sennheiser.com,,1,Bang & Olufsen,"Luxury, Fashion & Beauty",German premium audio brand
Sequoia Consulting Group,sequoia.com,,1,Businessolver,"Payments, Banking & Insurance",Benefits administration/brokerage rival
ServiceTitan,servicetitan.com,,1,Salesforce,"Cloud, Data & AI Software",field service CRM rival
Setrab,setrab.se,,1,PWR,"Energy, Industrial & Automotive",Motorsport oil coolers
SF Express,sf-express.com,,1,DHL,"Travel, Logistics & Property",China express/logistics giant
Shake Shack,shakeshack.com,,1,McDonald's (Arcos Dorados),"Beverages, Food & CPG",US better-burger chain
Shanghai Stock Exchange,sse.com.cn,,1,Nasdaq,"Crypto, Trading & Wealth",mainland China exchange
SharkNinja,sharkninja.com,,1,Philips,"Energy, Industrial & Automotive",Home/personal appliances
Shenzhen Stock Exchange,szse.cn,,1,Nasdaq,"Crypto, Trading & Wealth",mainland China exchange
SHI International,shi.com,,1,Arrow Electronics,"Cyber, IT & Hardware",IT solutions/distribution
Shinola,shinola.com,,1,Invicta Watch Group,"Luxury, Fashion & Beauty",American-made lifestyle watch brand
Shiseido Company,shiseido.com,,1,LVMH,"Luxury, Fashion & Beauty",Beauty conglomerate
Shred-it (Stericycle),shredit.com,,1,Iron Mountain,"Travel, Logistics & Property",Secure destruction services rival
Shuffle.com,shuffle.com,,1,Stake (departing but budget-holder),"Health, Betting & Services",Crypto casino
Sibanye-Stillwater,sibanyestillwater.com,,1,Ma'aden,"Energy, Industrial & Automotive",PGM/gold miner
Sidi,sidi.com,,1,Alpinestars,"Energy, Industrial & Automotive",Racing boots/footwear
Siemens Healthineers,siemens-healthineers.com,YES,1,Philips,"Energy, Industrial & Automotive",Siemens medical imaging arm
Sierra,sierra.ai,,1,Airia,"Cloud, Data & AI Software",AI agent platform rival
Sigma Computing,sigmacomputing.com,,1,Alteryx,"Cloud, Data & AI Software",cloud BI rival
Signal,signal.org,,1,WhatsApp (Meta),"Telecom, Media, Electronics & Gaming",Encrypted messaging app
Sigue Corporation,sigue.com,,1,MoneyGram,"Payments, Banking & Insurance",Global remittance network rival
Sika,sika.com,,1,AkzoNobel (Sikkens),"Energy, Industrial & Automotive",Specialty construction chemicals/coatings
Silhouette,silhouette.com,,1,ic! berlin,"Luxury, Fashion & Beauty",Austrian precision/rimless eyewear brand
Silicon Labs,silabs.com,,1,Snapdragon (Qualcomm),"Cyber, IT & Hardware",IoT wireless chips
Sim-Lab,sim-lab.eu,,1,Trak Racer,"Telecom, Media, Electronics & Gaming",Sim-racing rig maker
Simagic,simagic.com,,1,Fanatec (Corsair),"Telecom, Media, Electronics & Gaming",Direct-drive sim wheel maker
Simba Sleep,simbasleep.com,,1,Eight Sleep,"Health, Betting & Services",DTC mattress brand (UK)
Simple Modern,simplemodern.com,,1,Yeti,"Luxury, Fashion & Beauty",Insulated drinkware brand
Simplex (Nuvei),simplex.com,,1,CoinPayments,"Crypto, Trading & Wealth",crypto payment processor
Simplilearn,simplilearn.com,,1,Udemy,"Health, Betting & Services",Professional certification learning
Simply,simplynicotinepouches.com,,1,ZYN (Philip Morris International),"Beverages, Food & CPG",Nicotine pouch brand
Simply Beverages,simplyorangejuice.com,,1,Rauch,"Beverages, Food & CPG",Coca-Cola premium juice brand
SimScale,simscale.com,,1,Ansys (Synopsys),"Cloud, Data & AI Software",cloud simulation rival
Simucube (Granite Devices),simucube.com,,1,Fanatec (Corsair),"Telecom, Media, Electronics & Gaming",Direct-drive sim wheel maker
Singapore Airlines Cargo,siacargo.com,YES,1,Atlas Air,"Travel, Logistics & Property",Singapore GP title; air cargo rival
Singapore Exchange (SGX),sgx.com,,1,Nasdaq,"Crypto, Trading & Wealth",Singapore exchange operator
Singtel (NCS/Singtel Business),singtel.com,,1,Tata Communications,"Telecom, Media, Electronics & Gaming",Asia-Pacific enterprise connectivity
Sisley Paris,sisley-paris.com,,1,ELEMIS (L'Occitane Group),"Luxury, Fashion & Beauty",French luxury skincare brand
SIX Group,six-group.com,,1,Nasdaq,"Crypto, Trading & Wealth",Swiss exchange and data group
Six Star Pro Nutrition,sixstarpro.com,,1,Optimum Nutrition (Glanbia),"Beverages, Food & CPG",Iovate value sports nutrition brand
Sixth Street Partners,sixthstreet.com,,1,ZCG,"Payments, Banking & Insurance",Global credit/alternative investment rival
SK hynix,skhynix.com,,1,AMD,"Cyber, IT & Hardware",memory chips
SK-II,sk-ii.com,,1,ELEMIS (L'Occitane Group),"Luxury, Fashion & Beauty",P&G prestige skincare brand
Skagen,skagen.com,,1,Invicta Watch Group,"Luxury, Fashion & Beauty",Fossil Group minimalist watch brand
Sketchfab,sketchfab.com,,1,JigSpace,"Telecom, Media, Electronics & Gaming",3D content platform
Skillshare,skillshare.com,,1,Udemy,"Health, Betting & Services",Creative-skills learning platform
Skratch Labs,skratchlabs.com,,1,Gatorade (PepsiCo),"Beverages, Food & CPG",US endurance hydration brand
Sky Bet (Flutter),skybet.com,,1,Betway (Super Group),"Health, Betting & Services",UK sportsbook
Sky News Business,news.sky.com,,1,CNBC (Comcast/NBCUniversal),"Telecom, Media, Electronics & Gaming",UK business news
Skype (Microsoft),skype.com,YES,1,WhatsApp (Meta),"Telecom, Media, Electronics & Gaming","Microsoft, Mercedes/Alpine partner"
Skyworks Solutions,skyworksinc.com,,1,Snapdragon (Qualcomm),"Cyber, IT & Hardware",RF/connectivity chips
Skyy Vodka,skyy.com,,1,NEFT Vodka,"Beverages, Food & CPG",Campari Group vodka
Slack (Salesforce),slack.com,YES,1,WhatsApp (Meta),"Telecom, Media, Electronics & Gaming","Salesforce, F1 global partner"
Slaughter and May,slaughterandmay.com,,1,Ashurst,"Health, Betting & Services",Magic Circle law firm
Sleep Number,sleepnumber.com,,1,Eight Sleep,"Health, Betting & Services",Smart adjustable mattress
Sleepme (Chilisleep),sleep.me,,1,Eight Sleep,"Health, Betting & Services",Temperature-regulating sleep tech
SleepScore Labs,sleepscore.com,,1,Eight Sleep,"Health, Betting & Services",Sleep tracking tech
Slide Insurance,slideinsurance.com,,1,Orion180,"Payments, Banking & Insurance",Insurtech homeowners insurer rival
Sling TV,sling.com,,1,Paramount+ (Paramount Skydance),"Telecom, Media, Electronics & Gaming",Live TV streaming
Sluban,sluban.com,,1,LEGO Group,"Telecom, Media, Electronics & Gaming",Construction brick toy maker
Small World Financial Services,smallworldfs.com,,1,MoneyGram,"Payments, Banking & Insurance",Global remittance network rival
Smartwater,drinksmartwater.com,,1,Vellamo Water (ThaiBev/Chang),"Beverages, Food & CPG",Coca-Cola premium vapor-distilled water
Smirnoff,smirnoff.com,,1,NEFT Vodka,"Beverages, Food & CPG",Diageo mainstream vodka leader
Snap AR (Snap Inc.),ar.snap.com,,1,JigSpace,"Telecom, Media, Electronics & Gaming",AR platform
Snap Inc,snap.com,,1,Meta AI (Meta),"Cloud, Data & AI Software",social platform rival
Snap-on,snapon.com,,1,Solera,"Cyber, IT & Hardware",vehicle diagnostics tools
Sobha Realty,sobharealty.com,,1,DAMAC Properties,"Travel, Logistics & Property",Dubai luxury real estate developer
SoBol,sobolbowls.com,,1,Oakberry,"Beverages, Food & CPG",US acai/smoothie bowl chain
Socure,socure.com,,1,CLEAR,"Health, Betting & Services",Identity verification platform
Softchoice,softchoice.com,,1,Arrow Electronics,"Cyber, IT & Hardware",IT solutions/distribution
SoftServe,softserveinc.com,,1,RebelDot,"Cyber, IT & Hardware",software engineering
Solenis,solenis.com,,1,Ecolab,"Energy, Industrial & Automotive",Water/process chemicals
Sompo Holdings,sompo-hd.com,,1,Allianz,"Payments, Banking & Insurance",Japanese global insurer rival
Sonata Software,sonata-software.com,,1,Mphasis,"Cyber, IT & Hardware",IT services
Sonepar,sonepar.com,,1,Arrow Electronics,"Cyber, IT & Hardware",electrical/electronics distribution
Songkick,songkick.com,,1,Fever,"Telecom, Media, Electronics & Gaming",Concert discovery platform
Sonic Drive-In,sonicdrivein.com,,1,McDonald's (Arcos Dorados),"Beverages, Food & CPG",Inspire Brands drive-in QSR chain
Sonos,sonos.com,,1,Bang & Olufsen,"Luxury, Fashion & Beauty",American premium wireless audio brand
Sony Interactive Entertainment (PlayStation),playstation.com,,1,EA Sports (Electronic Arts),"Telecom, Media, Electronics & Gaming",Video game publisher/console maker
Sounding Board,soundingboardinc.com,,1,BetterUp,"Health, Betting & Services",Leadership coaching platform
Sourcegraph (Cody),sourcegraph.com,,1,Cognition AI,"Cloud, Data & AI Software",AI coding assistant rival
South China Morning Post,scmp.com,,1,Financial Times (Nikkei),"Telecom, Media, Electronics & Gaming",Asia business/general news
Southern Fidelity Insurance,southernfidelityinsurance.com,,1,Orion180,"Payments, Banking & Insurance",Coastal property insurer rival
Spa,spa.be,,1,S.Pellegrino (Nestle),"Beverages, Food & CPG",Spadel Belgian premium mineral water
Space NK,spacenk.com,,1,Sephora (LVMH),"Luxury, Fashion & Beauty",British prestige beauty retailer
Sparkle (TIM),tisparkle.com,,1,Tata Communications,"Telecom, Media, Electronics & Gaming",Telecom Italia's global wholesale carrier
Spaten,spaten.de,,1,Paulaner,"Beverages, Food & CPG",AB InBev Munich brewery
Speck,speckproducts.com,,1,Mous,"Luxury, Fashion & Beauty",Protective phone case brand
SpectroCoin,spectrocoin.com,,1,CoinPayments,"Crypto, Trading & Wealth",crypto payments and wallet
Speechify,speechify.com,,1,ElevenLabs,"Cloud, Data & AI Software",AI text-to-speech rival
Speedline Corse,speedline-corse.com,,1,BBS Wheels,"Energy, Industrial & Automotive",Motorsport wheels
Speyburn,speyburn.com,,1,Glenfiddich (William Grant & Sons),"Beverages, Food & CPG",Inver House single malt Scotch
Spin Casino,spincasino.com,,1,JackpotCity Casino,"Health, Betting & Services","Online casino, same operator family"
Spin Master,spinmaster.com,,1,LEGO Group,"Telecom, Media, Electronics & Gaming",Global toy maker
Spireon,spireon.com,,1,Eurodatacar,"Travel, Logistics & Property",Fleet/vehicle tracking data rival
Splashtop,splashtop.com,,1,TeamViewer,"Cloud, Data & AI Software",remote access rival
Splunk,splunk.com,YES,1,Dynatrace,"Cloud, Data & AI Software",observability/log analytics rival
Sportsbet.io,sportsbet.io,,1,Stake (departing but budget-holder),"Health, Betting & Services","Crypto sportsbook, ex-F1 sponsor (Leicester/Southampton style deals)"
Spring Health,springhealth.com,,1,BetterUp,"Health, Betting & Services",Workforce mental health platform
Springbank,springbank.scot,,1,Glenfiddich (William Grant & Sons),"Beverages, Food & CPG",Independent single malt Scotch
Spritzer,spritzer.com.my,,1,Vellamo Water (ThaiBev/Chang),"Beverages, Food & CPG",Malaysian bottled water leader
Spy Optic,spyoptic.com,,1,Oakley (EssilorLuxottica),"Luxury, Fashion & Beauty",Action-sports eyewear brand
Spyderco,spyderco.com,,1,The James Brand,"Luxury, Fashion & Beauty",American EDC knife brand
Square Enix,square-enix.com,,1,EA Sports (Electronic Arts),"Telecom, Media, Electronics & Gaming",Video game publisher
SS&C Technologies,ssctech.com,,1,BNY,"Payments, Banking & Insurance",Fund administration/asset-servicing technology rival
SSA Marine,ssamarine.com,,1,DP World,"Travel, Logistics & Property",North American terminal operator rival
Stably,stably.io,,1,Circle,"Crypto, Trading & Wealth",stablecoin issuance platform
Stake.us,stake.us,YES,1,Modo Casino,"Health, Betting & Services",US sweepstakes arm; Stake is F1 budget-holder
Standard Bank Group,standardbank.com,,1,Standard Chartered,"Payments, Banking & Insurance",Africa banking rival
Standard Motor Products,smpcorp.com,,1,Delphi (PHINIA),"Energy, Industrial & Automotive",Aftermarket fuel/ignition parts
Standox (Axalta),standox.com,,1,Glasurit (BASF),"Energy, Industrial & Automotive",Automotive refinish brand
Stanford Health Care,stanfordhealthcare.org,,1,UChicago Medicine,"Health, Betting & Services",Academic health system
Stanford University,stanford.edu,,1,KAUST,"Health, Betting & Services",STEM research university
Stanley,stanley1913.com,,1,Yeti,"Luxury, Fashion & Beauty",Premium drinkware & thermos brand
Star Clippers,starclippers.com,,1,MSC Cruises,"Travel, Logistics & Property",Sailing cruise niche rival
Starbucks,starbucks.com,,1,McDonald's (Arcos Dorados),"Beverages, Food & CPG",Global coffeehouse chain
Starz,starz.com,,1,Paramount+ (Paramount Skydance),"Telecom, Media, Electronics & Gaming",Premium streaming service
State Street Global Advisors,ssga.com,,1,Nuveen (TIAA),"Payments, Banking & Insurance",Institutional asset management rival
Steaz Energy,steaz.com,,1,Celsius (Celsius Holdings),"Beverages, Food & CPG",US organic energy drink brand
Stellantis Financial Services,stellantisfinancialservices.com,,1,Mobilize Financial Services (Renault Group),"Payments, Banking & Insurance",Captive auto-finance rival
Step,step.com,,1,Endstate,"Crypto, Trading & Wealth",teen banking/rewards app
Stepan Company,stepan.com,,1,Nouryon,"Energy, Industrial & Automotive",Surfactants/specialty chemicals
Stifel Financial Corp,stifel.com,,1,Stephens,"Payments, Banking & Insurance",Mid-market investment bank rival
Stoli Group,stoligroup.com,,1,Moet Hennessy (LVMH),"Beverages, Food & CPG",Global vodka/spirits group
Stolichnaya,stoli.com,,1,NEFT Vodka,"Beverages, Food & CPG",Stoli Group vodka
StopTech,stoptech.com,,1,Brembo,"Energy, Industrial & Automotive",Performance brake systems
Stori Card,storicard.com,,1,Nu (Nubank),"Payments, Banking & Insurance",Mexico digital credit card rival
StreamNative,streamnative.io,,1,Confluent,"Cloud, Data & AI Software",data streaming (Pulsar) rival
Striim,striim.com,,1,Confluent,"Cloud, Data & AI Software",real-time data streaming rival
StubHub,stubhub.com,YES,1,viagogo (StubHub Holdings),"Telecom, Media, Electronics & Gaming","Sister brand under StubHub Holdings, same parent as viagogo"
Student.com,student.com,YES,1,Yugo,"Travel, Logistics & Property",Racing Bulls partner; student housing booking rival
Stuhrling Original,stuhrling.com,,1,Invicta Watch Group,"Luxury, Fashion & Beauty",Affordable dress-watch brand
Subaru Motors Finance,subarumotorsfinance.com,,1,Mobilize Financial Services (Renault Group),"Payments, Banking & Insurance",Captive auto-finance rival
Subway,subway.com,,1,McDonald's (Arcos Dorados),"Beverages, Food & CPG",Global sandwich QSR chain
SugarCRM,sugarcrm.com,,1,Salesforce,"Cloud, Data & AI Software",CRM rival
Suja Juice,sujajuice.com,,1,Rauch,"Beverages, Food & CPG",Coca-Cola-backed cold-pressed juice brand
Sumitomo Electric Industries,sei.co.jp,,1,CommScope,"Cyber, IT & Hardware",fiber/cabling
Sun Life Financial,sunlife.com,,1,Allianz,"Payments, Banking & Insurance",Canadian life insurer/asset manager rival
Sun Mountain,sunmountain.com,,1,OGIO (Topgolf Callaway Brands),"Luxury, Fashion & Beauty",Golf bag & outerwear brand
Sunbelt Rentals,sunbeltrentals.com,,1,Aggreko,"Energy, Industrial & Automotive",Equipment/power rental
Suno,suno.com,,1,ElevenLabs,"Cloud, Data & AI Software",generative audio/music AI rival
Suntory Beverage & Food,suntory.com,,1,PepsiCo,"Beverages, Food & CPG",Japanese beverage group
SuperBook,superbook.com,,1,FanDuel (Flutter Entertainment),"Health, Betting & Services",US sportsbook
Supercell,supercell.com,,1,PUBG Mobile (Krafton),"Telecom, Media, Electronics & Gaming",Mobile game publisher
